newsletter_name,newsletter_url,category,free_subscriber_count,likes,likes_per_100_free_subscribers,post_url,author,post_title,post_subtitle,post_date,word_count,is_paid,post_id
stephenreid,https://stephenreid.substack.com,,"3,000",0,0.0,https://stephenreid.substack.com/p/introducing-hilma-church-turing,Stephen Reid,Introducing Hilma Church-Turing,"An imaginal biography, and the upcoming book on Technological Metamodernism",2025-06-22 17:15:06,39,False,166535703
stephenreid,https://stephenreid.substack.com,,"3,000",3,0.1,https://stephenreid.substack.com/p/in-correspondence-49,Stephen Reid,In Correspondence #49,"Elevate, Bread Coop and Circles",2025-06-16 07:42:11,300,False,165806711
stephenreid,https://stephenreid.substack.com,,"3,000",10,0.33,https://stephenreid.substack.com/p/four-reasons-to-join-us-at-emerge,Stephen Reid,Four reasons to join us at Emerge Lakefront,Applications open now for residencies from 3 months to 3 years,2025-05-24 15:23:27,450,False,164302858
stephenreid,https://stephenreid.substack.com,,"3,000",3,0.1,https://stephenreid.substack.com/p/in-correspondence-48,Stephen Reid,In Correspondence #48,"Japan, Funding the Commons and an engagement",2025-05-12 10:00:36,454,False,161205813
